row_number,level,Nation_fk,Year,Region,Country,All Religions,Buddhists,Christians,Folk Religions,Hindus,Jews,Muslims,Other Religions,Unaffiliated
54,1,47,2010,Sub-Saharan Africa,Democratic Republic of the Congo, 100,< 1.0,95.8,< 1.0,< 1.0,< 1.0, 1.5,< 1.0, 1.8
55,1,48,2010,Asia-Pacific,Cook Islands, 100,< 1.0,96.0,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0, 3.2
56,1,49,2010,Latin America-Caribbean,Costa Rica, 100,< 1.0,90.9,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0, 7.9
57,1,50,2010,Sub-Saharan Africa,Ivory Coast, 100,< 1.0,44.1,10.2,< 1.0,< 1.0,37.5,< 1.0, 8.0
58,1,51,2010,Europe,Croatia, 100,< 1.0,93.4,< 1.0,< 1.0,< 1.0, 1.4,< 1.0, 5.1
59,1,52,2010,Latin America-Caribbean,Cuba, 100,< 1.0,59.2,17.4,< 1.0,< 1.0,< 1.0,< 1.0,23.0
60,1,53,2010,Asia-Pacific,Cyprus, 100,< 1.0,73.2,< 1.0,< 1.0,< 1.0,25.3,< 1.0, 1.2
61,1,54,2010,Europe,Czech Republic, 100,< 1.0,23.3,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0,76.4
62,1,55,2010,Europe,Denmark, 100,< 1.0,83.5,< 1.0,< 1.0,< 1.0, 4.1,< 1.0,11.8
63,1,56,2010,Sub-Saharan Africa,Djibouti, 100,< 1.0, 2.3,< 1.0,< 1.0,< 1.0,96.9,< 1.0,< 1.0
64,1,57,2010,Latin America-Caribbean,Dominica, 100,< 1.0,94.4, 3.0,< 1.0,< 1.0,< 1.0, 1.7,< 1.0
65,1,58,2010,Latin America-Caribbean,Dominican Republic, 100,< 1.0,88.0,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0,10.9
66,1,59,2010,Latin America-Caribbean,Ecuador, 100,< 1.0,94.1,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0, 5.5
67,1,60,2010,Middle East-North Africa,Egypt, 100,< 1.0, 5.1,< 1.0,< 1.0,< 1.0,94.9,< 1.0,< 1.0
68,1,61,2010,Latin America-Caribbean,El Salvador, 100,< 1.0,88.2,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0,11.0
69,1,62,2010,Sub-Saharan Africa,Equatorial Guinea, 100,< 1.0,88.7, 1.7,< 1.0,< 1.0, 4.0,< 1.0, 5.0
70,1,63,2010,Sub-Saharan Africa,Eritrea, 100,< 1.0,62.9,< 1.0,< 1.0,< 1.0,36.6,< 1.0,< 1.0
71,1,64,2010,Europe,Estonia, 100,< 1.0,39.9,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0,59.6
72,1,65,2010,Sub-Saharan Africa,Ethiopia, 100,< 1.0,62.8, 2.6,< 1.0,< 1.0,34.6,< 1.0,< 1.0
73,1,66,2010,Europe,Faeroe Islands, 100,< 1.0,98.0,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0, 1.7
74,1,67,2010,Latin America-Caribbean,Falkland Islands (Malvinas), 100,< 1.0,67.2,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0,31.5
75,1,68,2010,Asia-Pacific,Fiji, 100,< 1.0,64.4,< 1.0,27.9,< 1.0, 6.3,< 1.0,< 1.0
76,1,69,2010,Europe,Finland, 100,< 1.0,80.1,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0,19.1
77,1,70,2010,Europe,France, 100,< 1.0,63.0,< 1.0,< 1.0,< 1.0, 7.5,< 1.0,28.0
78,1,71,2010,Latin America-Caribbean,French Guiana, 100,< 1.0,84.4, 9.1, 1.6,< 1.0,< 1.0,< 1.0, 3.4
79,1,72,2010,Asia-Pacific,French Polynesia, 100,< 1.0,94.0,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0, 4.9
80,1,73,2010,Sub-Saharan Africa,Gabon, 100,< 1.0,76.5, 6.0,< 1.0,< 1.0,11.2,< 1.0, 5.6
81,1,74,2010,Sub-Saharan Africa,Gambia, 100,< 1.0, 4.5,< 1.0,< 1.0,< 1.0,95.1,< 1.0,< 1.0
82,1,75,2010,Europe,Georgia, 100,< 1.0,88.5,< 1.0,< 1.0,< 1.0,10.7,< 1.0,< 1.0
83,1,76,2010,Europe,Germany, 100,< 1.0,68.7,< 1.0,< 1.0,< 1.0, 5.8,< 1.0,24.7
84,1,77,2010,Sub-Saharan Africa,Ghana, 100,< 1.0,74.9, 4.9,< 1.0,< 1.0,15.8,< 1.0, 4.2
85,1,78,2010,Europe,Gibraltar, 100,< 1.0,88.8,< 1.0, 1.8, 2.1, 4.0,< 1.0, 2.9
86,1,79,2010,Europe,Greece, 100,< 1.0,88.1,< 1.0,< 1.0,< 1.0, 5.3,< 1.0, 6.1
87,1,80,2010,North America,Greenland, 100,< 1.0,96.1,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0, 2.5
88,1,81,2010,Latin America-Caribbean,Grenada, 100,< 1.0,96.6, 1.3,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0
89,1,82,2010,Latin America-Caribbean,Guadeloupe, 100,< 1.0,95.9,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0, 2.5
90,1,83,2010,Asia-Pacific,Guam, 100, 1.1,94.2, 1.5,< 1.0,< 1.0,< 1.0, 1.6, 1.7
91,1,84,2010,Latin America-Caribbean,Guatemala, 100,< 1.0,95.2,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0, 4.1
92,1,85,2010,Sub-Saharan Africa,Guinea, 100,< 1.0,10.9, 2.7,< 1.0,< 1.0,84.4,< 1.0, 1.8
93,1,86,2010,Sub-Saharan Africa,Guinea-Bissau, 100,< 1.0,19.7,30.9,< 1.0,< 1.0,45.1,< 1.0, 4.3
94,1,87,2010,Latin America-Caribbean,Guyana, 100,< 1.0,66.0,< 1.0,24.9,< 1.0, 6.4,< 1.0, 2.0
95,1,88,2010,Latin America-Caribbean,Haiti, 100,< 1.0,86.9, 2.2,< 1.0,< 1.0,< 1.0,< 1.0,10.6
96,1,89,2010,Europe,Vatican City, 100,< 1.0,>99.0,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0
97,1,90,2010,Latin America-Caribbean,Honduras, 100,< 1.0,87.6, 1.1,< 1.0,< 1.0,< 1.0,< 1.0,10.5
98,1,91,2010,Asia-Pacific,Hong Kong, 100,13.2,14.3,12.8,< 1.0,< 1.0, 1.8, 1.5,56.1
99,1,92,2010,Europe,Hungary, 100,< 1.0,81.0,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0,18.6
100,1,93,2010,Europe,Iceland, 100,< 1.0,95.0,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0, 3.5
101,1,94,2010,Asia-Pacific,India, 100,< 1.0, 2.5,< 1.0,79.5,< 1.0,14.4, 2.3,< 1.0
102,1,95,2010,Asia-Pacific,Indonesia, 100,< 1.0, 9.9,< 1.0, 1.7,< 1.0,87.2,< 1.0,< 1.0
103,1,96,2010,Asia-Pacific,Iran, 100,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0,>99.0,< 1.0,< 1.0
104,1,97,2010,Middle East-North Africa,Iraq, 100,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0,99.0,< 1.0,< 1.0
105,1,98,2010,Europe,Ireland, 100,< 1.0,92.0,< 1.0,< 1.0,< 1.0, 1.1,< 1.0, 6.2
106,1,99,2010,Europe,Isle of Man, 100,< 1.0,84.1,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0,15.4
107,1,100,2010,Middle East-North Africa,Israel, 100,< 1.0, 2.0,< 1.0,< 1.0,75.6,18.6,< 1.0, 3.1
108,1,101,2010,Europe,Italy, 100,< 1.0,83.3,< 1.0,< 1.0,< 1.0, 3.7,< 1.0,12.4
109,1,102,2010,Latin America-Caribbean,Jamaica, 100,< 1.0,77.2, 4.5,< 1.0,< 1.0,< 1.0,< 1.0,17.2
110,1,103,2010,Asia-Pacific,Japan, 100,36.2, 1.6,< 1.0,< 1.0,< 1.0,< 1.0, 4.7,57.0
111,1,104,2010,Middle East-North Africa,Jordan, 100,< 1.0, 2.2,< 1.0,< 1.0,< 1.0,97.2,< 1.0,< 1.0
112,1,105,2010,Asia-Pacific,Kazakhstan, 100,< 1.0,24.7,< 1.0,< 1.0,< 1.0,70.4,< 1.0, 4.2
113,1,106,2010,Sub-Saharan Africa,Kenya, 100,< 1.0,84.8, 1.7,< 1.0,< 1.0, 9.7, 1.2, 2.5
114,1,107,2010,Asia-Pacific,Kiribati, 100,< 1.0,97.0,< 1.0,< 1.0,< 1.0,< 1.0, 2.2,< 1.0
115,1,108,2010,Europe,Kosovo, 100,< 1.0, 6.1,< 1.0,< 1.0,< 1.0,93.8,< 1.0,< 1.0
116,1,109,2010,Middle East-North Africa,Kuwait, 100, 2.8,14.3,< 1.0, 8.5,< 1.0,74.1,< 1.0,< 1.0
117,1,110,2010,Asia-Pacific,Kyrgyzstan, 100,< 1.0,11.4,< 1.0,< 1.0,< 1.0,88.0,< 1.0,< 1.0
118,1,111,2010,Asia-Pacific,Laos, 100,66.0, 1.5,30.7,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0
119,1,112,2010,Europe,Latvia, 100,< 1.0,55.8,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0,43.8
120,1,113,2010,Middle East-North Africa,Lebanon, 100,< 1.0,38.3,< 1.0,< 1.0,< 1.0,61.3,< 1.0,< 1.0
121,1,114,2010,Sub-Saharan Africa,Lesotho, 100,< 1.0,96.8,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0, 3.1
122,1,115,2010,Sub-Saharan Africa,Liberia, 100,< 1.0,85.9,< 1.0,< 1.0,< 1.0,12.0,< 1.0, 1.4
123,1,116,2010,Middle East-North Africa,Libya, 100,< 1.0, 2.7,< 1.0,< 1.0,< 1.0,96.6,< 1.0,< 1.0
124,1,117,2010,Europe,Liechtenstein, 100,< 1.0,91.9,< 1.0,< 1.0,< 1.0, 5.0,< 1.0, 2.9
125,1,118,2010,Europe,Lithuania, 100,< 1.0,89.8,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0,10.0
126,1,119,2010,Europe,Luxembourg, 100,< 1.0,70.4,< 1.0,< 1.0,< 1.0, 2.3,< 1.0,26.8
127,1,120,2010,Asia-Pacific,Macau, 100,17.3, 7.2,58.9,< 1.0,< 1.0,< 1.0,< 1.0,15.4
128,1,121,2010,Europe,Republic of Macedonia, 100,< 1.0,59.3,< 1.0,< 1.0,< 1.0,39.3,< 1.0, 1.4
129,1,122,2010,Sub-Saharan Africa,Madagascar, 100,< 1.0,85.3, 4.5,< 1.0,< 1.0, 3.0,< 1.0, 6.9
130,1,123,2010,Sub-Saharan Africa,Malawi, 100,< 1.0,82.7, 1.7,< 1.0,< 1.0,13.0,< 1.0, 2.5
131,1,124,2010,Asia-Pacific,Malaysia, 100,17.7, 9.4, 2.3, 6.0,< 1.0,63.7,< 1.0,< 1.0
132,1,125,2010,Asia-Pacific,Maldives, 100,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0,98.4,< 1.0,< 1.0
133,1,126,2010,Sub-Saharan Africa,Mali, 100,< 1.0, 2.4, 2.7,< 1.0,< 1.0,94.4,< 1.0,< 1.0
134,1,127,2010,Europe,Malta, 100,< 1.0,97.0,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0, 2.5
135,1,128,2010,Asia-Pacific,Marshall Islands, 100,< 1.0,97.5,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0, 1.5
136,1,129,2010,Latin America-Caribbean,Martinique, 100,< 1.0,96.5,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0, 2.3
137,1,130,2010,Sub-Saharan Africa,Mauritania, 100,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0,>99.0,< 1.0,< 1.0
138,1,131,2010,Sub-Saharan Africa,Mauritius, 100,< 1.0,32.7,< 1.0,48.5,< 1.0,17.3,< 1.0,< 1.0
139,1,132,2010,Sub-Saharan Africa,Mayotte, 100,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0,98.6,< 1.0,< 1.0
140,1,133,2010,Latin America-Caribbean,Mexico, 100,< 1.0,95.1,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0, 4.7
141,1,134,2010,Asia-Pacific,Federated States of Micronesia, 100,< 1.0,95.3, 2.7,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0
142,1,135,2010,Europe,Moldova, 100,< 1.0,97.4,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0, 1.4
143,1,136,2010,Europe,Monaco, 100,< 1.0,86.0,< 1.0,< 1.0, 1.7,< 1.0,< 1.0,11.7
144,1,137,2010,Asia-Pacific,Mongolia, 100,55.1, 2.3, 3.5,< 1.0,< 1.0, 3.2,< 1.0,35.9
145,1,138,2010,Europe,Montenegro, 100,< 1.0,78.1,< 1.0,< 1.0,< 1.0,18.7,< 1.0, 3.2
146,1,139,2010,Latin America-Caribbean,Montserrat, 100,< 1.0,93.5,< 1.0,< 1.0,< 1.0,< 1.0, 1.5, 4.8
147,1,140,2010,Middle East-North Africa,Morocco, 100,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0,>99.0,< 1.0,< 1.0
148,1,141,2010,Sub-Saharan Africa,Mozambique, 100,< 1.0,56.7, 7.4,< 1.0,< 1.0,18.0,< 1.0,17.9
149,1,142,2010,Asia-Pacific,Burma (Myanmar), 100,80.1, 7.8, 5.8, 1.7,< 1.0, 4.0,< 1.0,< 1.0
150,1,143,2010,Sub-Saharan Africa,Namibia, 100,< 1.0,97.5,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0, 1.9
151,1,144,2010,Asia-Pacific,Nauru, 100, 1.1,79.0, 8.1,< 1.0,< 1.0,< 1.0, 7.4, 4.5
152,1,145,2010,Asia-Pacific,Nepal, 100,10.3,< 1.0, 3.7,80.7,< 1.0, 4.6,< 1.0,< 1.0
153,1,146,2010,Europe,Netherlands, 100,< 1.0,50.6,< 1.0,< 1.0,< 1.0, 6.0,< 1.0,42.1
154,1,148,2010,Asia-Pacific,New Caledonia, 100,< 1.0,85.2,< 1.0,< 1.0,< 1.0, 2.8,< 1.0,10.4
155,1,149,2010,Asia-Pacific,New Zealand, 100, 1.6,57.0,< 1.0, 2.1,< 1.0, 1.2,< 1.0,36.6
156,1,150,2010,Latin America-Caribbean,Nicaragua, 100,< 1.0,85.8, 1.4,< 1.0,< 1.0,< 1.0,< 1.0,12.5
157,1,151,2010,Sub-Saharan Africa,Niger, 100,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0,98.4,< 1.0,< 1.0
158,1,152,2010,Sub-Saharan Africa,Nigeria, 100,< 1.0,49.3, 1.4,< 1.0,< 1.0,48.8,< 1.0,< 1.0
159,1,153,2010,Asia-Pacific,Niue, 100,< 1.0,96.4,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0, 3.3
160,1,154,2010,Asia-Pacific,North Korea, 100, 1.5, 2.0,12.3,< 1.0,< 1.0,< 1.0,12.9,71.3
161,1,155,2010,Asia-Pacific,Northern Mariana Islands, 100,10.6,81.3, 5.3,< 1.0,< 1.0,< 1.0, 1.1, 1.0
162,1,156,2010,Europe,Norway, 100,< 1.0,84.7,< 1.0,< 1.0,< 1.0, 3.7,< 1.0,10.1
163,1,157,2010,Middle East-North Africa,Oman, 100,< 1.0, 6.5,< 1.0, 5.5,< 1.0,85.9, 1.0,< 1.0
164,1,158,2010,Asia-Pacific,Pakistan, 100,< 1.0, 1.6,< 1.0, 1.9,< 1.0,96.4,< 1.0,< 1.0
165,1,159,2010,Asia-Pacific,Palau, 100,< 1.0,86.7,< 1.0,< 1.0,< 1.0,< 1.0,10.4, 1.2
166,1,160,2010,Middle East-North Africa,Palestinian territories, 100,< 1.0, 2.4,< 1.0,< 1.0,< 1.0,97.6,< 1.0,< 1.0
167,1,161,2010,Latin America-Caribbean,Panama, 100,< 1.0,93.0,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0, 4.8
168,1,162,2010,Asia-Pacific,Papua New Guinea, 100,< 1.0,>99.0,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0
169,1,163,2010,Latin America-Caribbean,Paraguay, 100,< 1.0,96.9, 1.7,< 1.0,< 1.0,< 1.0,< 1.0, 1.1
170,1,164,2010,Latin America-Caribbean,Peru, 100,< 1.0,95.5,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0, 3.0
171,1,165,2010,Asia-Pacific,Philippines, 100,< 1.0,92.6, 1.5,< 1.0,< 1.0, 5.5,< 1.0,< 1.0
172,1,167,2010,Europe,Poland, 100,< 1.0,94.3,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0, 5.6
173,1,168,2010,Europe,Portugal, 100,< 1.0,91.9,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0, 7.5
174,1,169,2010,Latin America-Caribbean,Puerto Rico, 100,< 1.0,96.7,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0, 1.9
175,1,170,2010,Middle East-North Africa,Qatar, 100, 3.1,13.8,< 1.0,13.8,< 1.0,67.7,< 1.0,< 1.0
176,1,171,2010,Sub-Saharan Africa,Reunion, 100,< 1.0,87.6,< 1.0, 4.5,< 1.0, 4.2, 1.1, 2.0
177,1,172,2010,Europe,Romania, 100,< 1.0,>99.0,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0
178,1,173,2010,Europe,Russia, 100,< 1.0,73.3,< 1.0,< 1.0,< 1.0,10.0,< 1.0,16.2
179,1,174,2010,Sub-Saharan Africa,Rwanda, 100,< 1.0,93.4,< 1.0,< 1.0,< 1.0, 1.8,< 1.0, 3.6
180,1,175,2010,Sub-Saharan Africa,St. Helena, 100,< 1.0,96.5,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0, 3.3
181,1,176,2010,Latin America-Caribbean,St. Kitts and Nevis, 100,< 1.0,94.6, 1.3, 1.5,< 1.0,< 1.0,< 1.0, 1.6
182,1,177,2010,Latin America-Caribbean,St. Lucia, 100,< 1.0,91.1,< 1.0,< 1.0,< 1.0,< 1.0, 2.0, 6.0
183,1,178,2010,North America,St. Pierre and Miquelon, 100,< 1.0,94.7,< 1.0,< 1.0,< 1.0,< 1.0, 1.3, 3.8
184,1,179,2010,Latin America-Caribbean,St. Vincent and the Grenadines, 100,< 1.0,88.7, 2.0, 3.4,< 1.0, 1.5, 2.0, 2.5
185,1,180,2010,Asia-Pacific,Samoa, 100,< 1.0,96.8,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0, 2.5
186,1,181,2010,Europe,San Marino, 100,< 1.0,91.6,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0, 7.2
187,1,182,2010,Sub-Saharan Africa,Sao Tome and Principe, 100,< 1.0,82.2, 2.9,< 1.0,< 1.0,< 1.0, 2.4,12.6
188,1,183,2010,Middle East-North Africa,Saudi Arabia, 100,< 1.0, 4.4,< 1.0, 1.1,< 1.0,93.0,< 1.0,< 1.0
189,1,184,2010,Sub-Saharan Africa,Senegal, 100,< 1.0, 3.6,< 1.0,< 1.0,< 1.0,96.4,< 1.0,< 1.0
190,1,185,2010,Europe,Serbia, 100,< 1.0,92.6,< 1.0,< 1.0,< 1.0, 4.1,< 1.0, 3.3
191,1,186,2010,Sub-Saharan Africa,Seychelles, 100,< 1.0,94.0,< 1.0, 2.1,< 1.0, 1.1,< 1.0, 2.1
192,1,187,2010,Sub-Saharan Africa,Sierra Leone, 100,< 1.0,20.9,< 1.0,< 1.0,< 1.0,78.0,< 1.0,< 1.0
193,1,188,2010,Asia-Pacific,Singapore, 100,33.9,18.2, 2.3, 5.2,< 1.0,14.3, 9.7,16.4
194,1,189,2010,Europe,Slovakia, 100,< 1.0,85.3,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0,14.3
195,1,190,2010,Europe,Slovenia, 100,< 1.0,78.4,< 1.0,< 1.0,< 1.0, 3.6,< 1.0,18.0
196,1,191,2010,Asia-Pacific,Solomon Islands, 100,< 1.0,97.4, 1.3,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0
197,1,192,2010,Sub-Saharan Africa,Somalia, 100,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0,>99.0,< 1.0,< 1.0
